PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
"
W Merrifield
",KC,162,681,105,206,41,10,16,74,45,126,20,10,0.302,0.348,0.463,0.811,3.6
"
M Semien
",OAK,162,657,123,187,43,7,33,92,87,102,10,8,0.285,0.369,0.522,0.891,8.5
"
R Devers
",BOS,156,647,129,201,54,4,32,115,48,119,8,8,0.311,0.361,0.555,0.916,5.4
"
J Villar
",BAL,162,642,111,176,33,5,24,73,61,176,40,9,0.274,0.339,0.453,0.792,4.3
"
J Abreu
",CWS,159,634,85,180,38,1,33,123,36,152,2,2,0.284,0.33,0.503,0.833,2.5
"
J Polanco
",MIN,153,631,107,186,40,7,22,79,60,116,4,3,0.295,0.356,0.485,0.841,4.7
"
X Bogaerts
",BOS,155,614,110,190,52,0,33,117,76,122,4,2,0.309,0.384,0.555,0.939,6.3
"
D LeMahieu
",NYY,145,602,109,197,33,2,26,102,46,90,5,2,0.327,0.375,0.518,0.893,5.6
"
T Mancini
",BAL,154,602,106,175,38,2,35,97,63,143,1,0,0.291,0.364,0.535,0.899,3.7
"
E Andrus
",TEX,147,600,81,165,27,4,12,72,34,96,31,8,0.275,0.313,0.393,0.706,1.5
"
F Lindor
",CLE,143,598,101,170,40,2,32,74,46,98,22,5,0.284,0.335,0.518,0.853,4.8
"
M Betts
",BOS,150,597,135,176,40,5,29,80,97,101,16,3,0.295,0.391,0.524,0.915,7.3
"
D Fletcher
",LAA,154,596,83,173,30,4,6,49,55,64,8,3,0.29,0.35,0.384,0.734,3.8
"
J Soler
",KC,162,589,95,156,33,1,48,117,73,178,3,1,0.265,0.354,0.569,0.923,3.5
"
R Grichuk
",TOR,151,586,75,136,29,5,31,80,35,163,2,1,0.232,0.28,0.457,0.737,0.7
"
M Chapman
",OAK,156,583,102,145,36,3,36,91,73,147,1,1,0.249,0.342,0.506,0.848,7.8
"
L Garcia
",CWS,140,577,93,161,27,3,8,40,21,139,15,5,0.279,0.31,0.378,0.688,1.3
"
M Brantley
",HOU,148,575,88,179,40,2,22,90,51,66,3,2,0.311,0.372,0.503,0.875,4.8
"
J Martinez
",BOS,146,575,98,175,33,2,36,105,72,138,2,0,0.304,0.383,0.557,0.94,3.5
"
C Santana
",CLE,158,573,110,161,30,1,34,93,108,108,4,0,0.281,0.397,0.515,0.912,4.5
"
T Pham
",TB,145,567,77,155,33,2,21,68,81,123,25,4,0.273,0.369,0.45,0.819,3.9
"
Y Gurriel
",HOU,144,564,85,168,40,2,31,104,37,65,5,3,0.298,0.343,0.541,0.884,3.9
"
S Choo
",TEX,151,563,93,149,31,2,24,61,78,165,15,1,0.265,0.371,0.455,0.826,1.6
"
E Rosario
",MIN,137,562,91,155,28,1,32,109,22,86,3,1,0.276,0.3,0.5,0.8,1.5
"
A Gordon
",KC,150,556,77,148,31,1,13,76,51,100,5,3,0.266,0.345,0.396,0.741,0.8
"
A Bregman
",HOU,156,554,122,164,37,2,41,112,119,83,5,1,0.296,0.423,0.592,1.015,8.9
"
K Calhoun
",LAA,152,552,92,128,29,1,33,74,70,162,4,1,0.232,0.325,0.467,0.792,1.6
"
G Torres
",NYY,144,546,96,152,26,0,38,90,48,129,5,2,0.278,0.337,0.535,0.872,3
"
A Benintendi
",BOS,138,541,72,144,40,5,13,68,59,140,10,3,0.266,0.343,0.431,0.774,1.8
"
R Nunez
",BAL,151,541,72,132,24,0,31,90,44,143,1,1,0.244,0.311,0.46,0.771,0.4
"
W Adames
",TB,152,531,69,135,25,1,20,52,46,153,4,2,0.254,0.317,0.418,0.735,3.9
"
A Meadows
",TB,138,530,83,154,29,7,33,89,54,131,12,7,0.291,0.364,0.558,0.922,3.9
"
H Alberto
",BAL,139,524,62,160,21,2,12,51,16,50,4,4,0.305,0.329,0.422,0.751,3.4
"
M Kepler
",MIN,134,524,98,132,32,0,36,90,60,99,1,5,0.252,0.336,0.519,0.855,4
"
H Dozier
",KC,139,523,75,146,29,10,26,84,55,148,2,2,0.279,0.348,0.522,0.87,2.8
"
R Odor
",TEX,145,522,77,107,30,1,30,93,52,178,11,9,0.205,0.283,0.439,0.722,-0.3
"
Y Moncada
",CWS,132,511,83,161,34,5,25,79,40,154,10,3,0.315,0.367,0.548,0.915,5.2
"
M Smith",SEA,134,510,70,116,19,9,6,37,42,141,46,9,0.227,0.3,0.335,0.635,0
"
J Reddick
",HOU,141,501,57,138,19,3,14,56,36,66,5,2,0.275,0.319,0.409,0.728,1.3
"
J Altuve
",HOU,124,500,89,149,27,3,31,74,41,82,6,5,0.298,0.353,0.55,0.903,3.8
"
T Anderson
",CWS,123,498,81,167,32,0,18,56,15,109,17,5,0.335,0.357,0.508,0.865,4.2
"
Y Sanchez
",CWS,149,496,59,125,20,4,2,43,44,117,5,4,0.252,0.318,0.321,0.639,1.4
"
J Bradley
",BOS,147,494,69,111,28,3,21,62,56,155,8,6,0.225,0.317,0.421,0.738,2
"44
Cabrera
",DET,136,493,41,139,21,0,12,59,48,108,0,0,0.282,0.346,0.398,0.744,0
"
B Gardner
",NYY,141,491,86,123,26,7,28,74,52,108,10,2,0.251,0.325,0.503,0.828,4.3
"
A Pujols
",LAA,131,491,55,120,22,0,23,93,43,68,3,0,0.244,0.305,0.43,0.735,0.3
"
A Garcia
",TB,125,489,61,138,25,2,20,72,31,125,10,4,0.282,0.332,0.464,0.796,2.2
"
M Olson
",OAK,127,483,73,129,26,0,36,91,51,138,0,0,0.267,0.351,0.545,0.896,4.9
"
J Ramirez
",CLE,129,482,68,123,33,3,23,83,52,74,24,4,0.255,0.327,0.479,0.806,3.1
"
C Vazquez
",BOS,138,482,66,133,26,1,23,72,33,101,4,2,0.276,0.32,0.477,0.797,2.3
"
K Davis
",OAK,133,481,61,106,11,0,23,73,47,146,0,0,0.22,0.293,0.387,0.68,-0.2
"
G Springer
",HOU,122,479,96,140,20,3,39,96,67,113,6,2,0.292,0.383,0.591,0.974,6.4
"
D Santana
",TEX,130,474,81,134,23,6,28,81,25,151,21,6,0.283,0.324,0.534,0.858,2
"
M Trout
",LAA,134,470,110,137,27,2,45,104,110,120,11,2,0.291,0.438,0.645,1.083,7.9
"
E Jimenez
",CWS,122,468,69,125,18,2,31,79,30,134,0,0,0.267,0.315,0.513,0.828,1.5
"
Guerrero Jr.
",TOR,123,464,52,126,26,2,15,69,46,91,0,1,0.272,0.339,0.433,0.772,2.1
"
D Vogelbach
",SEA,144,462,73,96,17,0,30,76,92,149,0,0,0.208,0.341,0.439,0.78,1.1
"
J Profar
",OAK,139,459,65,100,24,2,20,67,48,75,9,1,0.218,0.301,0.41,0.711,-0.1
"
J Kipnis
",CLE,121,458,52,112,23,1,17,65,40,88,7,2,0.245,0.304,0.41,0.714,0.6
"
N Cruz
",MIN,120,454,81,141,26,0,41,108,56,131,0,1,0.311,0.392,0.639,1.031,4.4
"
D Santana
",SEA,121,451,63,114,20,1,21,69,50,164,8,3,0.253,0.329,0.441,0.77,0.5
"
L Voit
",NYY,118,429,72,113,21,1,21,62,71,142,0,0,0.263,0.378,0.464,0.842,1.3
